X	Locus.Identifier	length	logFC	logCPM	PValue	FDR
AT2G32560	AT2G32560.1	1362	0.209675885	6.570335032	0.12088997	0.227669993
AT4G01960	AT4G01960.1	1187	-0.218081541	3.290571707	0.120940744	0.227737473
AT5G67420	AT5G67420.1	1649	-0.24494007	5.49550981	0.120951117	0.227737473
AT3G08600	AT3G08600.1	1429	-0.211961264	4.122603401	0.120972416	0.22775374
AT2G17830	AT2G17830.1	1394	0.480577166	0.906209977	0.121000918	0.227783563
AT3G62220	AT3G62220.1	1359	0.244506637	3.312370442	0.121108031	0.227961349
AT5G22620	AT5G22620.1	1610	0.159446542	5.791951765	0.121158799	0.228015003
AT5G03440	AT5G03440.1	683	0.326365158	2.509106673	0.121161883	0.228015003
AT1G65290	AT1G65290.1	694	0.176298567	6.69725571	0.12119583	0.228055033
AT2G41440	AT2G41440.1	1698	0.339627078	1.985561157	0.121216619	0.228070298
AT5G06580	AT5G06580.1	1950	-0.1538251	4.501040209	0.121321427	0.228243626
AT1G01810	AT1G01810.1	638	0.911901515	-0.566536318	0.121464607	0.2284891
AT5G52990	AT5G52990.1	1359	0.494855465	1.043363025	0.121505489	0.228542107
AT1G55080	AT1G55080.1	920	0.332436952	2.518226728	0.121578332	0.228655214
AT2G14900	AT2G14900.1	647	0.348401072	2.864181344	0.121678999	0.228820621
AT5G40810	AT5G40810.1	1372	0.169515262	7.157594514	0.121736405	0.228904648
AT1G07700	AT1G07700.3	1536	-0.159728198	5.595301091	0.121755455	0.228909764
AT1G33290	AT1G33290.1	1272	0.159105319	5.322909813	0.121764573	0.228909764
AT2G43850	AT2G43850.1	1823	-0.319253656	2.577905366	0.121784892	0.22892404
AT4G34640	AT4G34640.1	1698	0.168403428	5.538482586	0.121799447	0.228927482
AT1G29990	AT1G29990.1	735	0.193682379	4.263423306	0.121867563	0.22903158
AT5G56520	AT5G56520.1	1185	0.35870526	1.925693179	0.12192305	0.229111927
AT3G16785	AT3G16785.1	3845	-0.189834329	4.558620234	0.121946222	0.229131538
AT5G01620	AT5G01620.3	1544	-0.287412323	2.476330725	0.122005342	0.229209154
AT1G04700	AT1G04700.1	3877	-0.544222839	0.842094271	0.12201301	0.229209154
AT4G15810	AT4G15810.1	2751	0.292867157	3.629060882	0.122083815	0.22931822
AT2G47940	AT2G47940.1	2259	-0.148561813	7.58973319	0.122171346	0.229439675
AT2G22425	AT2G22425.1	514	-0.250577908	4.201427009	0.122175619	0.229439675
AT4G23020	AT4G23020.2	1609	0.251369754	3.303183264	0.122186733	0.229439675
AT2G29070	AT2G29070.2	1222	0.514869189	1.333384832	0.122236036	0.229487498
AT3G11530	AT3G11530.1	742	0.201615773	3.835363348	0.122237713	0.229487498
AT5G12310	AT5G12310.1	1369	0.238008584	4.556073617	0.122311242	0.229561137
AT3G48360	AT3G48360.1	1434	-0.649489128	1.768800146	0.122313998	0.229561137
AT4G33150	AT4G33150.1	3551	-0.733603631	3.921352295	0.122315217	0.229561137
AT1G70340	AT1G70340.1	2359	-0.598117187	0.310133033	0.122354499	0.22961091
AT4G02580	AT4G02580.1	1127	0.162652073	6.720901434	0.122397382	0.229667428
AT1G28010	AT1G28010.1	3886	0.375503883	3.107908404	0.122421528	0.229680492
AT5G01630	AT5G01630.1	3714	-0.436342155	1.657562682	0.122429877	0.229680492
AT3G49340	AT3G49340.1	1024	-0.74605729	0.29731507	0.122494532	0.229777826
AT1G14030	AT1G14030.1	1707	-0.157130549	5.369576476	0.122542144	0.229843174
AT2G18630	AT2G18630.1	1774	0.228290447	4.866042244	0.122575977	0.229882666
AT3G30390	AT3G30390.1	1931	0.144327366	7.914733147	0.122637833	0.229974698
AT1G68500	AT1G68500.1	508	0.597217696	0.679087809	0.122654341	0.229977391
AT1G30230	AT1G30230.2	1042	0.172099234	8.39253019	0.122664835	0.229977391
AT1G78370	AT1G78370.1	897	0.222623687	8.95144117	0.12268045	0.229982701
AT2G38823	AT2G38823.1	856	0.586338339	0.479917706	0.122748334	0.230085984
AT1G04410	AT1G04410.1	1477	-0.157701674	9.250098083	0.122761178	0.230086088
AT1G69870	AT1G69870.1	2163	0.430239087	6.90892239	0.122809041	0.230151818
AT5G66800	AT5G66800.1	958	-0.565121075	0.544911541	0.122822367	0.230152819
AT5G10480	AT5G10480.3	1027	-0.196003374	5.487764985	0.122912464	0.230297661
AT5G66000	AT5G66000.1	920	-0.38539175	1.440381112	0.12296851	0.23037868
AT1G45010	AT1G45010.1	898	0.186641264	4.657953167	0.122992172	0.230399018
AT4G09000	AT4G09000.2	1453	0.137982961	8.205925787	0.123211719	0.230786262
AT2G04400	AT2G04400.1	1418	-0.233948982	6.547867012	0.12324857	0.230818036
AT3G56480	AT3G56480.1	2151	-0.288094024	3.100304655	0.123269386	0.230818036
AT3G09210	AT3G09210.1	1171	-0.179849522	5.930736356	0.123283346	0.230818036
AT3G25882	AT3G25882.1	533	-0.545947853	0.889666083	0.123299159	0.230818036
AT5G47870	AT5G47870.1	845	0.181296429	4.852305721	0.123300348	0.230818036
AT1G19970	AT1G19970.1	1087	0.306462721	2.895257942	0.123305661	0.230818036
AT3G09740	AT3G09740.1	1283	-0.156325114	5.617582121	0.123339974	0.230858247
AT3G43240	AT3G43240.1	2626	0.171951741	4.823558113	0.123377432	0.230904336
AT1G21560	AT1G21560.2	1679	0.272380624	3.893722125	0.123566923	0.231234919
AT5G25040	AT5G25040.2	2012	0.193194035	4.549829339	0.123613912	0.231298792
AT4G30993	AT4G30993.2	1606	-0.154378351	5.373468713	0.123630918	0.231306557
AT2G28140	AT2G28140.1	953	-0.905345138	-0.344549066	0.123681127	0.231376433
AT1G71810	AT1G71810.1	2459	0.171071105	5.175603303	0.123787671	0.231551673
AT4G09030	AT4G09030.1	583	0.303698451	2.956876298	0.123809771	0.231568936
AT4G12720	AT4G12720.4	1381	0.262117903	4.735181932	0.123860147	0.231639076
AT3G04090	AT3G04090.1	1097	0.195354908	5.884782214	0.124091581	0.232047774
AT4G09570	AT4G09570.1	1693	-0.210768748	4.050954723	0.124114763	0.232067002
AT4G02590	AT4G02590.1	1582	-0.173493871	4.058157174	0.124140853	0.232084946
AT5G53830	AT5G53830.1	934	0.454246431	1.190718771	0.12415016	0.232084946
AT1G49820	AT1G49820.1	1571	0.189804196	4.680155692	0.124291621	0.232268282
AT1G76940	AT1G76940.1	1201	0.204693069	3.520052027	0.124303293	0.232268282
AT4G24970	AT4G24970.1	2221	0.355414	2.539087568	0.124307159	0.232268282
AT1G15230	AT1G15230.1	1029	0.311607072	3.89377109	0.124309853	0.232268282
AT3G48730	AT3G48730.1	1650	0.172137867	8.057515785	0.124312783	0.232268282
AT1G56210	AT1G56210.1	1381	0.30858557	1.832196364	0.124333466	0.232282802
AT4G34110	AT4G34110.1	2432	0.160162801	8.769444818	0.124376622	0.232339301
AT5G09680	AT5G09680.1	918	-0.220416185	3.746459331	0.124389959	0.23234009
AT1G58200	AT1G58200.1	2503	0.230094191	6.195100191	0.124443519	0.232416002
AT1G71460	AT1G71460.1	2332	0.233318907	3.253151384	0.124673227	0.232820846
AT4G17560	AT4G17560.1	1168	0.15843177	7.644208659	0.124847834	0.233122718
AT2G43920	AT2G43920.1	1087	-0.233193331	3.658884229	0.124929563	0.233248504
AT3G09180	AT3G09180.1	1691	0.185680652	4.294563455	0.124941128	0.233248504
AT5G41690	AT5G41690.1	2243	-0.344297865	1.70486707	0.124991428	0.233318198
AT3G45100	AT3G45100.1	1817	0.233692934	3.302680861	0.125039956	0.233384568
AT3G18990	AT3G18990.1	1514	0.206382813	3.812617581	0.125064952	0.233407008
AT3G07180	AT3G07180.1	2047	-0.175535804	4.401331415	0.125212737	0.233658577
AT1G07901	AT1G07901.1	152	-0.551418454	0.254850266	0.125297853	0.233793162
AT4G17510	AT4G17510.1	961	0.192997614	4.405109725	0.125332451	0.233833467
AT2G04845	AT2G04845.1	781	-0.264420062	2.34077783	0.125371703	0.233859152
AT4G14147	AT4G14147.2	931	-0.356290544	1.96962192	0.12537936	0.233859152
AT1G14640	AT1G14640.1	2206	0.595086911	1.188653252	0.125392936	0.233859152
AT2G20495	AT2G20495.1	1085	0.305799901	2.770298524	0.125398212	0.233859152
AT2G42730	AT2G42730.1	2402	0.383458877	1.261428251	0.125425459	0.233885721
AT1G10830	AT1G10830.1	1304	0.194439883	5.267466978	0.125603071	0.234192647
AT1G54160	AT1G54160.1	1458	0.500747619	1.338451725	0.125638832	0.23423476
AT1G64880	AT1G64880.1	1977	-0.165911002	5.629840282	0.125662204	0.23423476
AT1G31330	AT1G31330.1	949	-0.215687794	12.02116764	0.125671654	0.23423476
AT2G02390	AT2G02390.3	952	0.289299003	4.8158399	0.125677736	0.23423476
AT1G47370	AT1G47370.1	1085	-0.612937303	0.058252436	0.125717937	0.234285417
AT4G16940	AT4G16940.1	3531	0.440304441	1.098626605	0.125742395	0.234306724
AT2G01180	AT2G01180.1	1512	-0.317100344	2.862791092	0.125816147	0.234419875
AT4G35040	AT4G35040.1	1471	0.164548925	4.285589044	0.125854444	0.234466946
AT2G41100	AT2G41100.1	1233	0.330613847	5.719915283	0.125874297	0.234479652
AT4G25840	AT4G25840.1	1143	-0.245975514	2.89114217	0.125907136	0.23448377
AT2G30160	AT2G30160.1	1444	0.210814812	3.782869811	0.125911358	0.23448377
AT1G64570	AT1G64570.1	3712	-0.231945069	4.096275855	0.125915608	0.23448377
AT1G03220	AT1G03220.1	1529	-0.623273545	5.684635667	0.125951591	0.234526503
AT3G48870	AT3G48870.1	3147	0.166972198	7.435390749	0.126010515	0.234611939
AT2G26680	AT2G26680.1	1274	0.261656517	4.415022144	0.126061567	0.234682704
AT3G53530	AT3G53530.2	1083	-0.373027576	2.552959029	0.126151305	0.234822581
AT4G18950	AT4G18950.1	1950	0.20714178	5.359695671	0.126162808	0.234822581
AT1G20230	AT1G20230.1	2282	0.425948554	1.653584833	0.126181587	0.234833239
AT1G77320	AT1G77320.1	3366	-0.352523169	2.248623937	0.126244441	0.234925913
AT3G13190	AT3G13190.1	1391	-0.37142514	2.328932933	0.126311938	0.235027208
AT5G01730	AT5G01730.1	3691	-0.690884358	-0.067218954	0.126373241	0.235116957
AT5G15750	AT5G15750.1	896	0.171904278	4.379465644	0.126422763	0.235184772
AT1G69060	AT1G69060.1	2304	-0.264280164	2.768891403	0.12645319	0.235202082
AT5G26790	AT5G26790.1	519	-0.484237514	0.623296514	0.126460826	0.235202082
AT2G15960	AT2G15960.1	379	-0.293410901	5.398660699	0.126471288	0.235202082
AT5G59610	AT5G59610.1	920	-0.191068621	3.634607918	0.126521802	0.235252936
AT3G53480	AT3G53480.1	4542	-0.804195067	0.591978661	0.126524799	0.235252936
AT1G21580	AT1G21580.1	7199	0.275759702	6.297693089	0.126542879	0.235252936
AT1G77060	AT1G77060.1	1193	0.18061986	5.80321132	0.126550938	0.235252936
AT4G19670	AT4G19670.1	1851	0.179139458	4.61833749	0.126568221	0.235259484
AT4G10730	AT4G10730.1	2587	-0.189567932	4.667912197	0.126580613	0.235259484
AT1G21720	AT1G21720.1	911	0.167193687	5.874952512	0.126629769	0.235314184
AT3G58660	AT3G58660.1	1580	0.160418748	5.744951625	0.126636203	0.235314184
AT2G21860	AT2G21860.1	1654	-0.198205963	6.111082591	0.126862554	0.235710442
AT3G47380	AT3G47380.1	775	-0.344157696	2.292810871	0.126901026	0.235757576
AT1G15950	AT1G15950.1	1396	0.175155269	6.555992399	0.126967769	0.235830766
AT2G24260	AT2G24260.1	1404	0.399931473	1.517052222	0.126979045	0.235830766
AT4G09640	AT4G09640.1	1656	0.231380735	3.462105719	0.126979747	0.235830766
AT3G57580	AT3G57580.1	1888	-0.443857554	0.694393992	0.127012213	0.235866714
AT3G23100	AT3G23100.1	986	0.240228109	2.960189419	0.12706473	0.235939885
AT1G59218	AT1G59218.1	3759	0.833228162	-0.098781797	0.127095075	0.235971878
AT3G03600	AT3G03600.1	918	-0.194333024	4.275230738	0.127108906	0.235973205
AT2G35035	AT2G35035.1	882	0.58983593	0.810096112	0.127186974	0.236093774
AT4G03520	AT4G03520.1	922	0.189566129	8.522549779	0.127225559	0.236141033
AT4G30010	AT4G30010.1	669	-0.213833217	6.41429285	0.127295845	0.23622302
AT3G26782	AT3G26782.1	2184	0.37940001	1.778333287	0.127295992	0.23622302
AT5G60640	AT5G60640.1	1961	-0.168031973	6.217682499	0.127319595	0.236232905
AT1G52360	AT1G52360.2	3074	-0.224353033	5.931497156	0.127327579	0.236232905
AT1G33410	AT1G33410.1	4690	0.192824436	5.565528405	0.127367482	0.236282571
AT4G24130	AT4G24130.1	750	-0.432474755	2.307869413	0.127454468	0.236419562
AT2G25530	AT2G25530.1	2114	0.308121062	1.967659211	0.127520696	0.236518025
AT3G06310	AT3G06310.1	751	0.226510772	4.461392577	0.127651099	0.236735482
AT1G48650	AT1G48650.2	3877	-0.180569101	5.854358879	0.12768263	0.236769553
AT5G60750	AT5G60750.1	1382	-0.185803624	4.459544994	0.127697382	0.236772504
AT5G08185	AT5G08185.2	665	-0.349998333	1.72232683	0.127733561	0.236815179
AT5G46600	AT5G46600.1	1888	-0.524356901	1.357090882	0.127805087	0.236923372
AT3G60490	AT3G60490.1	844	0.717824407	0.075698867	0.127831071	0.236947125
AT3G49010	AT3G49010.1	886	-0.183665361	8.172804931	0.12784704	0.236952312
AT5G03280	AT5G03280.1	4795	-0.155766251	6.017903726	0.127898495	0.237023262
AT5G41060	AT5G41060.1	1667	-0.314635179	2.149885581	0.128019231	0.237222576
AT1G24400	AT1G24400.1	1742	0.279613171	2.773261459	0.12804179	0.237239942
AT4G38660	AT4G38660.1	1527	-0.206411276	4.365340097	0.128066028	0.237260418
AT3G27520	AT3G27520.1	997	-0.386147314	1.555601241	0.128079643	0.237261209
AT3G58590	AT3G58590.1	2543	0.509543827	1.219936103	0.128127839	0.237326053
AT3G49300	AT3G49300.1	471	-0.529099341	0.637494975	0.128231015	0.237492711
AT1G66980	AT1G66980.1	3551	-0.275806137	5.743893104	0.128298293	0.237592855
AT3G53990	AT3G53990.1	915	0.248737279	6.127966012	0.128331518	0.237629924
AT3G26590	AT3G26590.1	1778	-0.257002712	3.418059175	0.128359687	0.237657623
AT5G15550	AT5G15550.1	1560	0.168115189	5.165213609	0.128388613	0.237686719
AT3G45230	AT3G45230.1	776	-0.325280888	3.138900886	0.128475047	0.237822262
AT1G54580	AT1G54580.1	877	-0.236145245	6.152866264	0.1285609	0.237956703
AT1G03350	AT1G03350.1	1755	-0.182281577	4.714379918	0.128624271	0.238049507
AT5G45760	AT5G45760.1	1273	-0.312699382	2.115787277	0.128648044	0.238069015
AT3G52960	AT3G52960.1	951	0.202253113	8.050490131	0.128696733	0.238134622
AT1G26550	AT1G26550.1	732	0.193337696	6.284244083	0.128745681	0.238200694
AT1G06910	AT1G06910.1	1522	-0.368886857	1.687056354	0.128782874	0.238245007
AT4G21120	AT4G21120.1	2253	-1.051256433	1.733165454	0.128838667	0.238323716
AT2G01320	AT2G01320.3	2650	-0.141770852	5.516745001	0.128869958	0.238350363
AT3G16340	AT3G16340.1	4386	-0.438574607	2.342989697	0.128879569	0.238350363
AT2G21200	AT2G21200.1	469	0.675124728	-0.346633487	0.128897739	0.238359464
AT3G16450	AT3G16450.1	1270	-0.583344474	2.434727454	0.128949246	0.238430205
AT5G35730	AT5G35730.1	1749	-0.17522919	4.168781915	0.12904345	0.23857987
AT3G57170	AT3G57170.1	2395	-0.224224376	3.659027471	0.129212722	0.238868278
AT1G13340	AT1G13340.1	1476	0.606910534	1.731598409	0.129274481	0.238948704
AT4G05460	AT4G05460.1	1177	0.269841107	3.154250811	0.129282791	0.238948704
AT1G59830	AT1G59830.1	1295	-0.153346877	4.782132033	0.129322559	0.238994389
AT4G21700	AT4G21700.1	2888	0.319551529	2.930117219	0.129343066	0.238994389
AT1G50790	AT1G50790.1	2438	-0.597742962	0.224704404	0.129347361	0.238994389
AT5G15640	AT5G15640.1	1548	0.231501548	3.863460949	0.12936209	0.23899706
AT5G48500	AT5G48500.1	971	-0.315313649	1.894833869	0.129539862	0.239295054
AT5G21020	AT5G21020.2	899	-0.259622551	6.491624854	0.129552826	0.239295054
AT2G35880	AT2G35880.1	1814	0.180904449	4.93650357	0.129563288	0.239295054
AT3G02450	AT3G02450.1	2234	-0.16907547	5.888142283	0.129668134	0.239464114
AT2G33435	AT2G33435.1	3027	-0.415274899	2.885211506	0.129716382	0.239528629
AT4G34430	AT4G34430.4	3433	0.180740787	4.681637765	0.129751629	0.239569125
AT2G38240	AT2G38240.1	1334	0.664601761	5.656762367	0.129787931	0.239611562
AT1G14440	AT1G14440.1	1575	0.262767542	3.19971202	0.129835454	0.239674703
AT1G70470	AT1G70470.1	764	0.372632204	1.76343913	0.130099773	0.240132272
AT3G58090	AT3G58090.1	1039	-0.298548317	1.961384376	0.130110021	0.240132272
AT1G18630	AT1G18630.1	746	0.234993447	3.444969701	0.130126494	0.24013804
AT1G66930	AT1G66930.1	2021	0.687317243	0.469186386	0.130179378	0.240210995
AT5G17010	AT5G17010.1	2025	-0.158170236	4.339111258	0.130473294	0.240728646
AT5G37780	AT5G37780.3	855	0.151560458	5.768350851	0.130536958	0.240796869
AT2G35720	AT2G35720.1	1964	0.18184647	4.33086775	0.130537039	0.240796869
AT2G21620	AT2G21620.2	1023	-0.242794045	5.56924691	0.13059176	0.240873115
AT2G32500	AT2G32500.1	1874	0.166709268	6.066573492	0.130608799	0.240879846
AT3G48750	AT3G48750.1	1408	0.150056496	5.236478337	0.130655291	0.240940891
AT5G01090	AT5G01090.1	1494	-0.167155188	4.314534331	0.130678743	0.240959441
AT5G53430	AT5G53430.1	3914	0.256848696	3.396827699	0.130701373	0.240976472
AT1G34120	AT1G34120.2	2000	-0.295724375	2.119022493	0.130767972	0.241074555
AT3G43230	AT3G43230.1	1859	-0.193637636	4.364255862	0.130891418	0.241277408
AT4G27510	AT4G27510.1	2325	-0.624220401	-0.11587969	0.130947968	0.24135692
AT3G57180	AT3G57180.1	2228	-0.158715197	4.525568371	0.130965184	0.241363923
AT5G26040	AT5G26040.2	1354	0.250748665	2.98906222	0.131033386	0.241464882
AT5G47100	AT5G47100.1	1214	0.226737574	3.249041251	0.131060214	0.241489585
AT2G32530	AT2G32530.1	2409	-0.274443058	3.753385611	0.131119674	0.241574404
AT5G19151	AT5G19151.1	390	-0.443883338	0.921236274	0.131146088	0.241598328
AT5G22770	AT5G22770.1	3532	-0.148255958	5.381247133	0.131206847	0.24168551
AT1G64810	AT1G64810.2	1714	0.183668675	4.441712028	0.131253329	0.241746381
AT4G21160	AT4G21160.1	1368	-0.176008809	4.725883258	0.131275489	0.241762445
AT3G54300	AT3G54300.1	1036	0.163059091	4.389143049	0.13146961	0.242095164
AT3G28290	AT3G28290.1	1573	-0.650539021	1.566780876	0.131512385	0.242143751
AT3G63420	AT3G63420.1	639	-0.249614573	3.022274982	0.131522914	0.242143751
AT1G19860	AT1G19860.1	1799	0.168742758	4.072608902	0.131727081	0.242494825
AT4G21100	AT4G21100.1	3557	0.182465241	4.845163882	0.131767425	0.242514906
AT1G09920	AT1G09920.1	963	0.205095216	4.175923696	0.131787781	0.242514906
AT3G07020	AT3G07020.2	2479	-0.151474783	4.502116974	0.131790414	0.242514906
AT1G35320	AT1G35320.1	1340	-0.27719947	2.583099205	0.131791909	0.242514906
AT3G20170	AT3G20170.1	1614	-0.329020858	2.33293548	0.13183638	0.242556359
AT2G38040	AT2G38040.1	2951	-0.171299656	7.482854678	0.1318414	0.242556359
AT3G27330	AT3G27330.1	2864	-0.456814162	1.21538977	0.13209662	0.24298962
AT3G53100	AT3G53100.1	1486	-0.255830631	2.447689665	0.132103912	0.24298962
AT1G79050	AT1G79050.1	1469	0.155373958	4.869122381	0.132238254	0.243211862
AT3G25180	AT3G25180.1	1715	0.608871939	4.392644099	0.132355229	0.243353264
AT1G34360	AT1G34360.1	1825	0.220416652	3.500752741	0.132358705	0.243353264
AT5G11850	AT5G11850.1	2964	0.200768207	4.342921249	0.132375274	0.243353264
AT5G11390	AT5G11390.1	2382	0.28074093	2.873771019	0.132376219	0.243353264
AT3G20280	AT3G20280.1	2811	-0.281863897	2.296301748	0.132382769	0.243353264
AT3G61240	AT3G61240.1	2392	-0.158565504	5.448179074	0.132412157	0.243382419
AT1G05060	AT1G05060.1	996	-0.201443837	3.34372397	0.132469014	0.243462052
AT4G14096	AT4G14096.1	1821	0.294816949	2.502950542	0.132521623	0.243533864
AT4G15070	AT4G15070.1	2668	0.5383229	0.879048763	0.132597973	0.243630662
AT2G26640	AT2G26640.1	1821	-0.194298279	4.138401875	0.132601381	0.243630662
AT1G01880	AT1G01880.1	1989	-0.579109507	0.138628404	0.132679089	0.243748545
AT5G09950	AT5G09950.1	2987	-0.814764894	-0.209730794	0.132709429	0.24377939
AT1G75710	AT1G75710.1	1607	-0.207044841	4.011861123	0.132775647	0.243876128
AT3G16530	AT3G16530.1	1093	-0.530282303	5.166614365	0.132850747	0.243985125
AT4G37440	AT4G37440.1	1822	0.243632653	4.826845609	0.132862113	0.243985125
AT3G03160	AT3G03160.1	699	0.253389858	4.441926555	0.13292215	0.24402956
AT1G53770	AT1G53770.2	2001	0.237489119	2.781780257	0.132923822	0.24402956
AT4G20010	AT4G20010.1	1389	0.145226127	5.130802134	0.132927002	0.24402956
AT3G13275	AT3G13275.1	648	0.412213582	1.695439996	0.132957877	0.244051924
AT2G39940	AT2G39940.1	2393	0.179783227	4.773456813	0.132966314	0.244051924
AT3G15620	AT3G15620.1	1870	-0.763468485	-0.299589786	0.133366814	0.244762047
AT3G22160	AT3G22160.1	1128	0.502848216	2.276378453	0.133419231	0.24483327
AT3G23670	AT3G23670.1	4286	-0.613099871	2.713025815	0.133477032	0.244914358
AT2G19270	AT2G19270.1	1255	0.17773751	4.294753645	0.133574415	0.24506805
AT5G41685	AT5G41685.1	574	-0.211880432	3.61543368	0.133687117	0.245249813
AT4G30830	AT4G30830.1	1486	0.735826482	-0.165141234	0.133772681	0.245381761
AT4G27630	AT4G27630.3	1766	0.263651858	2.788499022	0.133794724	0.245397175
AT2G30260	AT2G30260.1	924	0.195706988	4.821403747	0.133833973	0.24544414
AT4G33080	AT4G33080.1	2145	0.18588485	5.150935993	0.13389657	0.245520308
AT4G27240	AT4G27240.1	1643	-0.326621559	2.06002923	0.133911626	0.245520308
AT5G42560	AT5G42560.1	1357	-0.181641549	4.041692004	0.133916446	0.245520308
AT1G74700	AT1G74700.1	1001	0.376807003	1.317075907	0.133993893	0.245637266
AT1G11330	AT1G11330.2	2943	-0.252655052	3.782069824	0.134030867	0.245655202
AT1G76200	AT1G76200.1	555	0.193957445	6.101877888	0.134030986	0.245655202
AT2G36720	AT2G36720.1	3609	-0.195671859	4.870926754	0.134045299	0.245656409
AT2G30200	AT2G30200.1	1431	0.166584238	6.383994508	0.134097193	0.245705073
AT2G25605	AT2G25605.1	860	-0.195433243	4.466023752	0.134099167	0.245705073
AT4G28040	AT4G28040.1	1449	-0.841466423	0.046986884	0.134142593	0.245759611
AT2G40410	AT2G40410.2	1282	-0.207882003	3.930140053	0.134173848	0.245791843
AT1G55300	AT1G55300.2	1049	0.290299477	3.305420862	0.13423461	0.245878118
AT4G12650	AT4G12650.1	2258	-0.142108914	7.029870705	0.134356092	0.246075584
AT3G25730	AT3G25730.1	1327	0.582534685	0.270332719	0.134373419	0.246082266
AT1G79870	AT1G79870.1	1164	-0.20401051	5.267218975	0.134433803	0.246167791
AT2G20240	AT2G20240.1	2459	-0.27200494	2.982327895	0.134502747	0.246259362
AT5G03660	AT5G03660.1	856	0.168668062	5.391343243	0.134511186	0.246259362
AT3G48800	AT3G48800.1	836	0.247737815	3.609656072	0.134557744	0.246319533
AT4G10270	AT4G10270.1	476	-0.814336033	-0.421058805	0.134713921	0.246580339
AT3G43790	AT3G43790.3	1753	-0.437160017	0.454201837	0.13476215	0.246643525
AT1G09410	AT1G09410.1	2117	0.610442194	-0.099694759	0.134803118	0.246693408
AT3G02500	AT3G02500.1	996	-0.587789325	0.18149747	0.134840178	0.246713323
AT1G23730	AT1G23730.1	987	-0.628307434	0.314406118	0.134841427	0.246713323
AT3G07610	AT3G07610.3	3249	-0.207003992	3.85435521	0.134882233	0.246739765
AT5G53730	AT5G53730.1	836	-0.430653701	0.873133825	0.134883308	0.246739765
AT1G69170	AT1G69170.1	1825	0.282685371	2.112331112	0.13496947	0.246865471
AT5G09660	AT5G09660.4	1456	-0.180524105	9.68075868	0.134979469	0.246865471
AT5G20410	AT5G20410.1	1792	-0.378206363	1.98738988	0.135120937	0.247098205
AT1G66700	AT1G66700.1	1296	1.569170988	0.137928176	0.135134191	0.247098205
AT2G42910	AT2G42910.1	1338	0.139398176	5.502320934	0.135216687	0.247223925
AT5G54590	AT5G54590.2	1316	0.197182531	3.580230377	0.135231017	0.247225
AT1G03970	AT1G03970.1	1147	0.307720354	2.781490986	0.135268362	0.247258692
AT5G63490	AT5G63490.1	1792	-0.232456369	4.510393166	0.135276933	0.247258692
AT3G51620	AT3G51620.2	2800	0.162962918	4.392517006	0.135332241	0.247334655
AT2G01913	AT2G01913.1	774	0.652402208	0.410885521	0.135363549	0.247353656
AT4G36530	AT4G36530.2	1459	0.17942173	6.471242269	0.135370135	0.247353656
AT2G41370	AT2G41370.1	1985	0.29497941	2.497788987	0.135422807	0.24742477
AT4G25520	AT4G25520.1	2712	0.190732722	4.252342301	0.135494972	0.247531483
AT3G48560	AT3G48560.1	2269	-0.164313274	8.849240687	0.135546672	0.247600789
AT4G11000	AT4G11000.1	1218	-0.670844816	-0.314299538	0.135603053	0.247678632
AT4G17540	AT4G17540.1	1089	-0.207559395	3.260102149	0.135644844	0.247729814
AT1G64230	AT1G64230.4	1013	-0.20010019	6.937534125	0.135671771	0.247746642
AT5G13640	AT5G13640.1	2805	-0.17401145	5.660126635	0.1356816	0.247746642
AT3G14430	AT3G14430.1	537	-0.299359883	2.47086043	0.135755933	0.247837786
AT3G27740	AT3G27740.1	1566	-0.15234396	6.425526428	0.135759068	0.247837786
AT1G15550	AT1G15550.1	1254	-0.493588365	2.980818944	0.135833001	0.247918311
AT2G45560	AT2G45560.1	2031	-0.169257536	5.985871519	0.135840527	0.247918311
AT5G48380	AT5G48380.1	2753	0.218600826	5.412466928	0.135844517	0.247918311
AT5G46260	AT5G46260.1	3612	-0.316460038	2.32358231	0.135938559	0.248044087
AT2G03470	AT2G03470.1	1704	0.202969791	4.446762859	0.135941009	0.248044087
AT4G19650	AT4G19650.1	2259	0.3802685	1.904668455	0.135968041	0.248068251
AT1G62085	AT1G62085.1	1385	-0.274143524	1.902057569	0.136086454	0.248259116
AT1G29880	AT1G29880.1	2385	0.131478244	7.163531137	0.136212446	0.248463765
AT1G77630	AT1G77630.1	1679	0.211727968	4.147071368	0.136268229	0.24854032
AT1G17930	AT1G17930.1	1981	0.280825896	2.549108183	0.13631948	0.248608592
AT3G51610	AT3G51610.1	946	-0.182267684	4.008851957	0.136349283	0.248637741
AT1G51965	AT1G51965.1	1951	0.314634167	2.635837987	0.136428799	0.248757527
AT3G04580	AT3G04580.1	3102	-0.235136671	3.745979313	0.136485641	0.248827278
AT1G74180	AT1G74180.1	2925	0.423103975	1.736630163	0.136494714	0.248827278
AT5G46210	AT5G46210.1	2670	0.212558022	6.403420182	0.136583921	0.248964672
AT5G09330	AT5G09330.1	2188	-0.168365681	5.505630928	0.136619888	0.249005004
AT5G04310	AT5G04310.1	1705	-0.550659407	0.816118394	0.136720319	0.24916281
AT5G14170	AT5G14170.1	1883	0.167682998	5.045558703	0.136763339	0.249215965
AT1G17440	AT1G17440.1	2488	0.151589304	5.180757303	0.136783327	0.249227145
